epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,810.712,0.50067,0.36774,0.00265,0.83494,0.78873,0.87753,0.78132,0.55506,0.70479,0.00305,0.00022201,0.00022201,0.00022201
2,1560.06,0.62446,0.57753,0.00346,0.81633,0.70879,0.80727,0.69796,0.63853,0.90706,0.00377,0.000442609,0.000442609,0.000442609
3,2289.28,0.67509,0.6221,0.0038,0.78031,0.74964,0.82455,0.71041,0.63951,0.88207,0.00366,0.000656309,0.000656309,0.000656309
4,3007.89,0.6803,0.60806,0.00384,0.79016,0.705,0.80254,0.6955,0.62328,1.04469,0.00355,0.000643815,0.000643815,0.000643815
5,3725.91,0.65857,0.52846,0.00373,0.82939,0.77551,0.87199,0.7627,0.57834,0.68952,0.00327,0.000626161,0.000626161,0.000626161
6,4459.86,0.62177,0.45983,0.00344,0.87712,0.8172,0.92084,0.81514,0.55689,0.53022,0.00314,0.000603944,0.000603944,0.000603944
7,5175.63,0.60355,0.42946,0.00335,0.84709,0.84325,0.90904,0.80644,0.54029,0.54411,0.00303,0.000577515,0.000577515,0.000577515
8,5908.05,0.57087,0.38685,0.00313,0.86793,0.80578,0.89872,0.80259,0.53483,0.65547,0.00304,0.00054729,0.00054729,0.00054729
9,6669.24,0.55593,0.34449,0.00301,0.85434,0.8546,0.91775,0.82797,0.50821,0.54209,0.00288,0.000513746,0.000513746,0.000513746
10,7412.41,0.53658,0.34166,0.00285,0.87025,0.78452,0.89948,0.81265,0.50076,0.66394,0.00275,0.000477412,0.000477412,0.000477412
11,8147.25,0.52096,0.3008,0.00274,0.89277,0.85982,0.92935,0.84684,0.47118,0.50543,0.00256,0.000438862,0.000438862,0.000438862
12,8907.32,0.49679,0.28017,0.00259,0.88415,0.87899,0.94196,0.86458,0.45398,0.44662,0.00249,0.000398702,0.000398702,0.000398702
13,9635.34,0.48837,0.25353,0.00255,0.90028,0.89699,0.95114,0.87281,0.45499,0.42555,0.00245,0.000357566,0.000357566,0.000357566
14,10366.3,0.46802,0.2302,0.00244,0.90696,0.90978,0.95464,0.88199,0.43455,0.4202,0.00238,0.000316104,0.000316104,0.000316104
15,11091.9,0.44841,0.21696,0.00232,0.9164,0.89958,0.95464,0.88734,0.4229,0.42741,0.00227,0.000274968,0.000274968,0.000274968
16,11816.4,0.43651,0.20189,0.00222,0.91225,0.85913,0.93648,0.87408,0.41542,0.5317,0.00224,0.000234808,0.000234808,0.000234808
17,12530.6,0.42439,0.18557,0.00213,0.926,0.91082,0.96517,0.90586,0.39307,0.35862,0.00209,0.000196258,0.000196258,0.000196258
18,13249.4,0.41248,0.18192,0.00206,0.9317,0.91462,0.96702,0.90735,0.38934,0.3501,0.00206,0.000159924,0.000159924,0.000159924
19,13972.9,0.40196,0.16745,0.00199,0.934,0.91563,0.96808,0.91267,0.38256,0.34935,0.00199,0.00012638,0.00012638,0.00012638
20,14696.5,0.38608,0.15899,0.00188,0.93328,0.91835,0.96481,0.91023,0.37287,0.3606,0.00194,9.61551e-05,9.61551e-05,9.61551e-05
21,15419.2,0.38264,0.1556,0.00185,0.92352,0.91867,0.9629,0.91111,0.36837,0.38674,0.0019,6.97259e-05,6.97259e-05,6.97259e-05
22,16139.9,0.37641,0.14686,0.00181,0.9344,0.9177,0.96647,0.91603,0.36383,0.37004,0.00188,4.75092e-05,4.75092e-05,4.75092e-05
23,16859.2,0.37142,0.1498,0.00179,0.936,0.91156,0.96587,0.91545,0.36283,0.37757,0.00188,2.98553e-05,2.98553e-05,2.98553e-05
24,17574.1,0.36801,0.14447,0.00175,0.93617,0.91821,0.96652,0.9162,0.36133,0.37391,0.00187,1.70427e-05,1.70427e-05,1.70427e-05
25,18287.6,0.36631,0.14637,0.00173,0.93797,0.92108,0.96692,0.91728,0.35938,0.36769,0.00186,9.27345e-06,9.27345e-06,9.27345e-06
